# Description: Public SysCilia Gold Standard Version 1
# Authors: TJP van Dam, G Wheway, GG Slaats, SYSCILIA Study Group, MA Huynen, RH Giles
# Date: 2013-05-22
# Version: 1.0 (GS version 4.0)
# Ensembl version: 71
# Note: First official PUBLIC release version of the SysCilia Gold Standard. Published in the Cilia journal
# Column 1: ensembl gene id
# Column 2: gene name
# Column 3: gene description from ensembl
# Column 4: Curator's note, describes reason for including the gene in the gold standard.
# Column 5: evidence for ciliary involvement as pubmed ids
# Column 6: ciliome studies that report this gene
# Column 7: Cellular and ciliary localisation of the protein
## ensembl_gene_id	ensembl_gene_symbol	ensembl_gene_desc	scgs_note	scgs_pubmed	scgs_ciliomes	scgs_localisation
ENSG00000138031	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:234]	Localized to the plasma membrane of neuronal cilia PMID: 17924533, PMID: 23392690	PMID:17924533, PMID:23392690	Mayer et al. 2009	Ciliary Membrane
ENSG00000123473	STIL	SCL/TAL1 interrupting locus [Source:HGNC Symbol;Acc:10879]	PMID:22349705, OMIM:181590. Required for centriole duplication. Null mutant shows lack of primary cilia 	PMID:22349705		Centrosome
ENSG00000163482	STK36	serine/threonine kinase 36 [Source:HGNC Symbol;Acc:17209]	Hydrocephalus and infertility, due to dysfunctional motile cilia, craniofacial abnormalities and growth retardation in KO mouse PMID: 21746835	PMID:21746835		
ENSG00000211455	STK38L	serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:17848] 	Phosphorylates Rabin8. Mutated in canine retinal degeneration. PMID: 20887780 PMID: 23435566	PMID:20887780, PMID:23435566	Avidor-Reiss et al. 2004, Blacque et al. 2005	Cytosol
ENSG00000133115	STOML3	stomatin (EPB72)-like 3 [Source:HGNC Symbol;Acc:19420]	Localizes to Basal Body, mechanosensing channel. BBS4 snd BBS8 knock-out impede its function. PMID: 17959775	PMID:17959775	Arnaiz et al. 2009, Arnaiz et al. 2010, Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Mayer et al. 2008, Mayer et al. 2009, Ross et al. 2007	Basal Body
ENSG00000166900	STX3	syntaxin 3 [Source:HGNC Symbol;Acc:11438]	PMID:19454479 required for transport to the cilium	PMID:19454479	Liu et al. 2007, Mayer et al. 2009	Cilium, Cytosol
ENSG00000107882	SUFU	suppressor of fused homolog (Drosophila) [Source:HGNC Symbol;Acc:16466]	Localizes to ciliary tip together with GLI transcriptionfactors. Role in Hh signaling	PMID:21209912	Laurencon et al. 2007	Ciliary Tip
ENSG00000054654	SYNE2	spectrin repeat containing, nuclear envelope 2 [Source:HGNC Symbol;Acc:17084]	interacts with meckelin, required for ciliogenesis, PMID:19596800	PMID:19596800	Liu et al. 2007, Stubbs et al. 2008	
ENSG00000111490	TBC1D30	TBC1 domain family, member 30 [Source:HGNC Symbol;Acc:29164]	PMID:17646400 involved in membrane trafficking, necessary for ciliogenesis. RabGAP for Rab8a	PMID:17646400	Ross et al. 2007	Basal Body
ENSG00000145979	TBC1D7	TBC1 domain family, member 7 [Source:HGNC Symbol;Acc:21066]	PMID:17646400 involved in membrane trafficking, necessary for ciliogenesis. RabGAP for Rab17	PMID:17646400		Basal Body
ENSG00000204852	TCTN1	tectonic family member 1 [Source:HGNC Symbol;Acc:26113]	Ciliopathy gene JBTS13 OMIM 609863	PMID:21725307	Avidor-Reiss et al. 2004, Chen et al. 2006, Laurencon et al. 2007, Liu et al. 2007, Ross et al. 2007	Transition Zone
ENSG00000168778	TCTN2	tectonic family member 2 [Source:HGNC Symbol;Acc:25774]	Ciliopathy gene MKS8 OMIM 613846	PMID:21725307, PMID:21565611, PMID:21462283	Liu et al. 2007	Transition Zone
ENSG00000119977	TCTN3	tectonic family member 3 [Source:HGNC Symbol;Acc:24519]	Ciliopathy gene JBTS18, OFD4 OMIM 613847	PMID:22883145	Avidor-Reiss et al. 2004, Chen et al. 2006, Laurencon et al. 2007, Liu et al. 2007	Transition Zone
ENSG00000092850	TEKT2	tektin 2 (testicular) [Source:HGNC Symbol;Acc:11725]	Tekt2 (Tektt) -/- mice have defects in sperm and tracheal cilium motility result from defective dynein function	PMID:18227105, PMID:11751288	Blacque et al. 2005, Boesger et al. 2009, Cao et al. 2008, Keller et al. 2005, Laurencon et al. 2007, Li et al. 2004, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005, Stubbs et al. 2008	Cilium
ENSG00000163060	TEKT4	tektin 4 [Source:HGNC Symbol;Acc:31012]	Axonemal protein required for flagella motility in mouse sperm. Expression reduced in inasthenozoospermic men. 	PMID:22774605	Blacque et al. 2005, Boesger et al. 2009, Cao et al. 2008, Keller et al. 2005, Li et al. 2004, Ostrowski et al. 2002, Pazour et al. 2005, Stolc et al. 2005, Stubbs et al. 2008	Cilium
ENSG00000153060	TEKT5	tektin 5 [Source:HGNC Symbol;Acc:26554]	PMID:20378928 PMID:17924527 Localizes throughout the sperm tail. Implicated role in sperm motility	PMID:20378928, PMID:17924527	Blacque et al. 2005, Boesger et al. 2009, Cao et al. 2008, Keller et al. 2005, Li et al. 2004, Pazour et al. 2005, Stolc et al. 2005	Cilium
ENSG00000149483	TMEM138	transmembrane protein 138 [Source:HGNC Symbol;Acc:26944]	Ciliopathy gene JBTS16 OMIM 614459	PMID:22282472	Blacque et al. 2005	Basal Body, Cilium
ENSG00000187049	TMEM216	transmembrane protein 216 [Source:HGNC Symbol;Acc:25018]	Ciliopathy gene JBTS2, MKS2, CORS2 OMIM 613277	PMID:22282472, PMID:20036350		Basal Body, Golgi
ENSG00000205084	TMEM231	transmembrane protein 231 [Source:HGNC Symbol;Acc:37234]	PMID: 23012439 Joubert syndrome, PMID: 23349226 Meckel-Gruber syndrome	PMID:23012439, PMID:23349226, PMID:20512146	Blacque et al. 2005, Chen et al. 2006, Keller et al. 2005, Li et al. 2004, Liu et al. 2007	Transition Zone
ENSG00000155755	TMEM237	transmembrane protein 237 [Source:HGNC Symbol;Acc:14432]	Ciliopathy gene Joubert syndrome 14, PMID 22152675	PMID:22152675	Chen et al. 2006, Liu et al. 2007	Transition Zone
ENSG00000164953	TMEM67	transmembrane protein 67 [Source:HGNC Symbol;Acc:28396]	Ciliopathy gene MKS3, JBTS6, NPHP11, PMID: 16415887, PMID: 17160906, PMID: 17185389, PMID: 17377820, PMID: 19058225, PMID: 19508969,	PMID:16415887, PMID:17160906, PMID:17185389, PMID:17377820, PMID:19058225, PMID:19508969	Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Liu et al. 2007, Ross et al. 2007	Axoneme, Basal Body
ENSG00000083312	TNPO1	transportin 1 [Source:HGNC Symbol;Acc:6401]	Importin beta 2. Regulates entry of RP2 and kinesin motor into cilium PMID: 21285245, PMID: 20526328	PMID:21285245, PMID:20526328	Liu et al. 2007	Axoneme
ENSG00000197579	TOPORS	topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:21653]	Ciliopathy gene RP31 OMIM 609507	PMID:17924349, PMID:18509552, PMID:21159800		Basal Body, Centrosome
ENSG00000179636	TPPP2	tubulin polymerization-promoting protein family member 2 [Source:HGNC Symbol;Acc:19293]	PMID:21289087 IFT transport and signalling defects after knockdown, ciliary frequency not affected	PMID:21289087	Avidor-Reiss et al. 2004, Blacque et al. 2005, Li et al. 2004, Pazour et al. 2005	
ENSG00000204104	TRAF3IP1	TNF receptor-associated factor 3 interacting protein 1 [Source:HGNC Symbol;Acc:17861]. 	OMIM 607380. Mouse homologue encodes IFT54, component of IFT complex B. Omori et al. (2008) identified elipsa, the zebrafish ortholog of TRAF3IP1, as a component of intraflagellar transport particles, which are  involved in the formation and function of cilia. Elipsa interacted with rabaptin-5 (RABEP1; 603616), a regulator of endocytosis, and rabaptin-5 in turn interacted with Rab8 (RAB8A; 165040), a small GTPase localized to cilia. Omori et al. (2008) concluded that elipsa, rabaptin-5, and Rab8 provide a bridge between the intraflagellar transport particle and protein complexes that assemble at the ciliary membrane.	PMID:21945076, PMID:19253336, PMID: 18364699.	Arnaiz et al. 2009, Avidor-Reiss et al. 2004, Blacque et al. 2005, Boesger et al. 2009, Efimenko et al. 2005, Laurencon et al. 2007, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	Basal Body, Cilium, IFT, Cytoplasm, Cytoskeleton
ENSG00000160218	TRAPPC10	trafficking protein particle complex 10 [Source:HGNC Symbol;Acc:11868]	PMID:21273506 required for Rabin8 centrosome trafficking and ciliogenesis	PMID:21273506	Liu et al. 2007	Basal Body, Centrosome
ENSG00000054116	TRAPPC3	trafficking protein particle complex 3 [Source:HGNC Symbol;Acc:19942]	OMIM: 610955. PMID:21273506 required for Rabin8 centrosome trafficking and ciliogenesis	PMID:21273506	Blacque et al. 2005, Liu et al. 2007	Basal Body, Centrosome
ENSG00000167632	TRAPPC9	trafficking protein particle complex 9 [Source:HGNC Symbol;Acc:30832]	OMIM: 611966. PMID:21273506 required for Rabin8 centrosome trafficking and ciliogenesis. Inactivating mutations cause with autosomal recessive mental retardation with ambulatory but no verbal development (Joubert-like?).	PMID:21273506	Blacque et al. 2005, Liu et al. 2007	Basal Body, Centrosome
ENSG00000119401	TRIM32	tripartite motif containing 32 [Source:HGNC Symbol;Acc:16380]	OMIM: 602290, Inactivating homozygous mutations cause ciliopathy BBS11, PMID: 16606853	PMID:16606853		Intermediate filaments
ENSG00000100815	TRIP11	thyroid hormone receptor interactor 11 [Source:HGNC Symbol;Acc:12305]	GMAP210 PMID: 23444385 Modulates IFT in C. elegans	PMID:23444385	Nogales-Cadenas et al. 2006	Golgi
ENSG00000128881	TTBK2	tau tubulin kinase 2 [Source:HGNC Symbol;Acc:19141]	OMIM: 611695, PMID: 23141541. Haploinsufficiency causes Spinocerebellar ataxia 11 (SCA11; 604432), a progressive cerebellar ataxia. 	PMID:23141541, PMID: 18037885	Blacque et al. 2005, Kim et al. 2010	Cytoplasm
ENSG00000149292	TTC12	tetratricopeptide repeat domain 12 [Source:HGNC Symbol;Acc:23700]	Upregulated during ciliogenesis and localize to the centrosome PMID:23300604	PMID:23300604	Ross et al. 2007	Centrosome
ENSG00000123607	TTC21B	tetratricopeptide repeat domain 21B [Source:HGNC Symbol;Acc:25660]	OMIM: 612014. Mutated in JBTS11, NPHP12, ATD4, PMID: 21258341 IFT complex A component	PMID:21258341	Arnaiz et al. 2009, Arnaiz et al. 2010, Blacque et al. 2005, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Pazour et al. 2005	Axoneme
ENSG00000105948	TTC26	tetratricopeptide repeat domain 26 [Source:HGNC Symbol;Acc:21882]	IFT complex B associated protein, PMID:21289087, PMID:22718903 siRNA knockdown in 3 mouse cell lines reduced cilia frequency, receptor transport into the cilium, and HH signalling. 	PMID:21289087, PMID:22718903	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Blacque et al. 2005, Chen et al. 2006, Li et al. 2004, Liu et al. 2007, Mayer et al. 2009, Merchant et al. 2007, Ostrowski et al. 2002, Ross et al. 2007, Stolc et al. 2005	Basal Body, Cilium
ENSG00000137473	TTC29	tetratricopeptide repeat domain 29 [Source:HGNC Symbol;Acc:29936]	Chlamydomonas homologue encodes 44kDa subunit of axonemal dynein PMID:17981992	PMID:17981992	Arnaiz et al. 2009, Arnaiz et al. 2010, Broadhead et al. 2006, Ross et al. 2007, Smith et al. 2005	Axoneme
ENSG00000197557	TTC30A	tetratricopeptide repeat domain 30A [Source:HGNC Symbol;Acc:25853]	part of the IFT-B complex. External submission.	PMID:20534810; PMID:17314406	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Blacque et al. 2005, Chen et al. 2006, Li et al. 2004, Liu et al. 2007, McClintock et al. 2008, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	Cilium, IFT
ENSG00000196659	TTC30B	tetratricopeptide repeat domain 30B [Source:HGNC Symbol;Acc:26425]	part of the IFT-B complex. External submission.	PMID:20534810; PMID:17314406	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Blacque et al. 2005, Chen et al. 2006, Li et al. 2004, Liu et al. 2007, McClintock et al. 2008, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	Cilium, IFT
ENSG00000165533	TTC8	tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:20087]	BBS8, part of the BBSome and IFT RP51 OMIM	PMID:14520415	Avidor-Reiss et al. 2004, Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Nogales-Cadenas et al. 2006	Basal Body, Cilium, IFT
ENSG00000112742	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:12401]	Negatively regulates ciliogenesis. PMID: 23388454	PMID:23388454	Nogales-Cadenas et al. 2006	Centrosome
ENSG00000214021	TTLL3	tubulin tyrosine ligase-like family, member 3 [Source:HGNC Symbol;Acc:24483]	Required for cilia tubulin glycylation PMID: 21262966	PMID:21262966	Arnaiz et al. 2010, Laurencon et al. 2007, Li et al. 2004	Cilium
ENSG00000170703	TTLL6	tubulin tyrosine ligase-like family, member 6 [Source:HGNC Symbol;Acc:26664] 	Involved in cilia tubulin glutamylation PMID: 21262966	PMID:21262966	Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Li et al. 2004, McClintock et al. 2008, Merchant et al. 2007	Cilium
ENSG00000131044	TTLL9	tubulin tyrosine ligase-like family, member 9 [Source:HGNC Symbol;Acc:16118]	Required for tubulin polyglutamylation	PMID:20188560	Arnaiz et al. 2010, Li et al. 2004, Merchant et al. 2007, Pazour et al. 2005	Cilium
ENSG00000167552	TUBA1A	tubulin, alpha 1a [Source:HGNC Symbol;Acc:20766]	tubulin, alpha 1a	PMID:11516662	Andersen et al. 2003, Arnaiz et al. 2009, Arnaiz et al. 2010, Blacque et al. 2005, Broadhead et al. 2006, Chen et al. 2006, Keller et al. 2005, Kilburn et al. 2007, Liu et al. 2007, Mayer et al. 2008, Mayer et al. 2009, Muller et al. 2010, Nogales-Cadenas et al. 2006, Ostrowski et al. 2002, Pazour et al. 2005, Reinders et al. 2006, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005	Basal Body, Centriole, Cytosol
ENSG00000167553	TUBA1C	tubulin, alpha 1c [Source:HGNC Symbol;Acc:20768]	tubulin, alpha 1c	PMID:11516662	Andersen et al. 2003, Arnaiz et al. 2009, Arnaiz et al. 2010, Blacque et al. 2005, Broadhead et al. 2006, Chen et al. 2006, Keller et al. 2005, Kilburn et al. 2007, Liu et al. 2007, Mayer et al. 2008, Mayer et al. 2009, Muller et al. 2010, Nogales-Cadenas et al. 2006, Ostrowski et al. 2002, Pazour et al. 2005, Reinders et al. 2006, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005	Basal Body, Centriole, Cytosol
ENSG00000127824	TUBA4A	tubulin, alpha 4a [Source:HGNC Symbol;Acc:12407]	tubulin, alpha 4a	PMID:11516662	Andersen et al. 2003, Arnaiz et al. 2009, Arnaiz et al. 2010, Blacque et al. 2005, Broadhead et al. 2006, Chen et al. 2006, Keller et al. 2005, Kilburn et al. 2007, Liu et al. 2007, Mayer et al. 2008, Mayer et al. 2009, Muller et al. 2010, Nogales-Cadenas et al. 2006, Ostrowski et al. 2002, Pazour et al. 2005, Reinders et al. 2006, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005	Basal Body, Centriole, Cytosol
ENSG00000137267	TUBB2A	tubulin, beta 2A class IIa [Source:HGNC Symbol;Acc:12412]	tubulin, beta 2A	PMID:11516662	Andersen et al. 2003, Arnaiz et al. 2009, Blacque et al. 2005, Broadhead et al. 2006, Keller et al. 2005, Kilburn et al. 2007, Liu et al. 2007, Mayer et al. 2008, Mayer et al. 2009, Muller et al. 2010, Nogales-Cadenas et al. 2006, Ostrowski et al. 2002, Pazour et al. 2005, Reinders et al. 2006, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005	Basal Body, Centriole, Cytosol
ENSG00000137285	TUBB2B	tubulin, beta 2B class IIb [Source:HGNC Symbol;Acc:30829]	tubulin, beta 2B	PMID:11516662	Andersen et al. 2003, Arnaiz et al. 2009, Blacque et al. 2005, Broadhead et al. 2006, Keller et al. 2005, Kilburn et al. 2007, Liu et al. 2007, Mayer et al. 2008, Mayer et al. 2009, Muller et al. 2010, Nogales-Cadenas et al. 2006, Ostrowski et al. 2002, Pazour et al. 2005, Reinders et al. 2006, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005	Basal Body, Centriole, Cytosol
ENSG00000198211	TUBB3	tubulin, beta 3 class III [Source:HGNC Symbol;Acc:20772]	tubulin, beta 3 	PMID:11516662	Andersen et al. 2003, Blacque et al. 2005, Broadhead et al. 2006, Liu et al. 2007, Mayer et al. 2008, Mayer et al. 2009, Muller et al. 2010, Nogales-Cadenas et al. 2006, Ostrowski et al. 2002, Reinders et al. 2006, Ross et al. 2007	Basal Body, Centriole, Cytosol
ENSG00000074935	TUBE1	tubulin, epsilon 1 [Source:HGNC Symbol;Acc:20775]	Role in centriole duplication	PMID:11516662	Keller et al. 2005, Merchant et al. 2007, Nogales-Cadenas et al. 2006	Centriole
ENSG00000130640	TUBGCP2	tubulin, gamma complex associated protein 2 [Source:HGNC Symbol;Acc:18599]	tubulin, gamma complex associated protein 2	PMID:11516662	Andersen et al. 2003, Liu et al. 2007, Muller et al. 2010, Nogales-Cadenas et al. 2006, Wigge et al. 1998	Basal Body, Centriole, Cytosol
ENSG00000126216	TUBGCP3	tubulin, gamma complex associated protein 3 [Source:HGNC Symbol;Acc:18598]	tubulin, gamma complex associated protein 3	PMID:11516662	Andersen et al. 2003, Liu et al. 2007, Muller et al. 2010, Nogales-Cadenas et al. 2006, Reinders et al. 2006, Wigge et al. 1998	Basal Body, Centriole, Cytosol
ENSG00000137822	TUBGCP4	tubulin, gamma complex associated protein 4 [Source:HGNC Symbol;Acc:16691]	tubulin, gamma complex associated protein 4	PMID:11516662	Andersen et al. 2003, Muller et al. 2010, Nogales-Cadenas et al. 2006	Basal Body, Centriole, Cytosol
ENSG00000153575	TUBGCP5	tubulin, gamma complex associated protein 5 [Source:HGNC Symbol;Acc:18600]	tubulin, gamma complex associated protein 5	PMID:11516662	Andersen et al. 2003, Muller et al. 2010, Nogales-Cadenas et al. 2006	Basal Body, Centriole, Cytosol
ENSG00000128159	TUBGCP6	tubulin, gamma complex associated protein 6 [Source:HGNC Symbol;Acc:18127]	tubulin, gamma complex associated protein 6	PMID:11516662	Andersen et al. 2003, Muller et al. 2010, Nogales-Cadenas et al. 2006	Basal Body, Centriole, Cytosol
ENSG00000112041	TULP1	tubby like protein 1 [Source:HGNC Symbol;Acc:12423]	Ciliopathy gene LCA15, RP14 OMIM 602280 but localisation to the basal body or cilium hasn't been shown	PMID:9462750	Liu et al. 2007	Plasma Membrane
ENSG00000078246	TULP3	tubby like protein 3 [Source:HGNC Symbol;Acc:12425]	PMID:20889716 bridges the IFT-A complex and membrane phosphoinositides to promote trafficking of G protein-coupled receptors into primary cilia.	PMID:20889716	Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005	Axoneme, Ciliary Tip
ENSG00000168038	ULK4	unc-51-like kinase 4 (C. elegans) [Source:HGNC Symbol;Acc:15784] 	Hydrocephalus due to dysfunctional motile cilia in KO mouse PMID: 21746835	PMID:21746835		
ENSG00000006611	USH1C	Usher syndrome 1C (autosomal recessive, severe) [Source:HGNC Symbol;Acc:12597]	Ciliopathy gene USH1C PMID: 12136232	PMID:12136232, PMID:18339676		Stereocilium
ENSG00000182040	USH1G	Usher syndrome 1G (autosomal recessive) [Source:HGNC Symbol;Acc:16356]	Ciliopathy gene OMIM: 607696; USH1G, PMID: 12588794	PMID:12588794, PMID:21767579		Cytoplasmic, Plasma Membrane, Centrosome 
ENSG00000042781	USH2A	Usher syndrome 2A (autosomal recessive, mild) [Source:HGNC Symbol;Acc:12601]	MIM: 608400, PMID: 10738000 Binds lebercilin and NINL. PMID: 18826961, Well estabilished causal relationship with Usher syndrome type II. Mouse model mimics ciliopathy disease Usher syndrome PubMed: 17360538.	PMID:10738000, PMID:16434480, PMID: 18826961, PMID: 17360538	Liu et al. 2007	Cilium,  Centrosome, Stereocilium, Ciliary Membrane, Cytosol
ENSG00000078668	VDAC3	voltage-dependent anion channel 3 [Source:HGNC Symbol;Acc:12674]	Mitochondrial porin, also a centrosomal protein. Negatively regulates ciliogenesis. PMID:23388454	PMID:23388454	Mayer et al. 2008, Mayer et al. 2009, Muller et al. 2010	Centrosome
ENSG00000134086	VHL	von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:12687]	MIM: 193300, MIM: 144700, MIM: 171300, MIM: 263400; Somatic inactivation of VHL causes renal and pancreatic cysts associated with cilia loss. VHL regulates ciliary maintenance and microtubule stability. 	PMID:16775032, PMID:16849532, PMID:23255108, PMID:18497742, PMID:17101696, PMID:17450132, PMID:17912253		Cytosol, Cilium, Nucleus
ENSG00000143951	WDPCP	WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:28027]	MIM: 613580. Also known as C2ORF86, BBS15. In Xenopus regulates septin and is necessory fro ciliogenesis. Mutations in humans cause BBS & MKS PMID: 20671153	PMID:20671153		Cytosol, Plasma Membrane,  Axoneme
ENSG00000157796	WDR19	WD repeat domain 19 [Source:HGNC Symbol;Acc:18340]	MIM: 08151. Mutations in WDR19 cause ciliopathies nephronophthisis (NPHP13), Jeune and Sensenbrenner syndromes (ATD5), PMID: 22019273 IFT complex A component (aka IFT144)	PMID:22019273; PMID: 19430947	Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Blacque et al. 2005, Chen et al. 2006, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Pazour et al. 2005, Ross et al. 2007	Cilium, IFT
ENSG00000118965	WDR35	WD repeat domain 35 [Source:HGNC Symbol;Acc:29250]	IFT complex A component, dogenous WDR35 localizes to cilia and centrosomes throughout the developing embryo and that human and mouse fibroblasts lacking the protein fail to produce cilia; Human and mouse homozygouse mutations in WDR35 cause ciliopathy short-rib polydactyly syndrome. Heterozygous mutations shown to cause cranioectodermal dysplasia-2. OMIM:613602	PMID:20817137; PMID: 21473986‎	Avidor-Reiss et al. 2004, Blacque et al. 2005, Chen et al. 2006, Li et al. 2004, Liu et al. 2007, Mayer et al. 2009, Merchant et al. 2007, Pazour et al. 2005	Cilium, IFT
ENSG00000126870	WDR60	WD repeat domain 60 [Source:HGNC Symbol;Acc:21862]	Isolated from primary cilia from mouse kidney cells and identified by mass spec PMID:22326026	PMID:22326026	Blacque et al. 2005, Li et al. 2004, Liu et al. 2007, Pazour et al. 2005	Cilium
ENSG00000152763	WDR78	WD repeat domain 78 [Source:HGNC Symbol;Acc:26252]	PMID:21289087; PMID:15937072; Phylogenetically WDR78 groups with Chlamydomonas inner dynein arm proteins IC140 and IC138, suggesting that they are subunits of the inner dynein arm. siRNA knockdown of Wdr78 in 3 different mouse cell lines perturbed receptor transport to the ciliary membrane as well as HH signalling. 	PMID:21289087; PMID:15937072	Arnaiz et al. 2009, Arnaiz et al. 2010, Boesger et al. 2009, Broadhead et al. 2006, Li et al. 2004, Pazour et al. 2005, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005, Stubbs et al. 2008	Axoneme
ENSG00000196236	XPNPEP3	X-prolyl aminopeptidase (aminopeptidase P) 3, putative [Source:HGNC Symbol;Acc:28052]	nephronophisis-like nephropathy, PMID: 20179356, in proteome, cleaves N-term DNAAF1	PMID:20179356	Liu et al. 2007	Mitochondrium, Nucleus, Basal Body
ENSG00000102935	ZNF423	zinc finger protein 423 [Source:HGNC Symbol;Acc:16762]	PMID:22863007, OMIM:604557; Immpunopreciptitates CEP290 and colocalizes with SDCCAG8 and CEP164. Patients homozygous for ZNF423 mutations (NPHP14) manifest as infantile-onset kidney disease, cerebellar vermis hypoplasia, and situs inversus, two mouse models available with Joubert-like cerebellar symptoms.                     	PMID:22863007; 17521568; 17151198		Nucleus
